2451545,1361.5409
2451546,1361.5552
2451547,1361.5045
2451548,1361.5562
2451549,1361.7755
2451550,1361.9474
2451551,1362.0626
2451552,1362.1778
2451553,1362.3024
2451554,1362.2811
2451555,1362.1207
2451556,1361.8875
2451557,1361.8191
2451558,1361.7969
2451559,1361.7734
2451560,1361.6934
2451561,1361.6675
2451562,1361.7844
2451563,1361.7462
2451564,1361.619
2451565,1361.6029
2451566,1361.6909
2451567,1361.742
2451568,1361.6423
2451569,1361.5196
2451570,1361.4237
2451571,1361.4982
2451572,1361.5611
2451573,1361.6224
2451574,1361.6493
2451575,1361.7571
2451576,1361.888
2451577,1361.967
2451578,1362.0591
2451579,1362.1758
2451580,1362.2692
2451581,1362.2467
2451582,1362.1159
2451583,1362.1359
2451584,1362.1307
2451585,1362.1661
2451586,1362.1685
2451587,1362.1703
2451588,1362.148
2451589,1362.2071
2451590,1362.1699
2451591,1361.8943
2451592,1361.8085
2451593,1361.6975
2451594,1361.5321
2451595,1361.3655
2451596,1361.4506
2451597,1361.5067
2451598,1361.2735
2451599,1361.1125
2451600,1360.8927
2451601,1360.749
2451602,1360.4838
2451603,1360.2352
2451604,1360.0841
2451605,1360.2324
2451606,1360.6235
2451607,1361.0917
2451608,1361.4677
2451609,1361.5178
2451610,1361.4955
2451611,1361.4565
2451612,1361.3374
2451613,1361.252
2451614,1361.266
2451615,1361.2002
2451616,1361.1693
2451617,1361.1932
2451618,1361.1366
2451619,1361.1123
2451620,1361.1374
2451621,1361.0994
2451622,1361.1255
2451623,1360.8906
2451624,1360.821
2451625,1360.6937
2451626,1360.7016
2451627,1361.1347
2451628,1361.471
2451629,1361.6019
2451630,1361.6393
2451631,1361.7276
2451632,1361.7621
2451633,1361.8617
2451634,1361.9496
2451635,1361.8548
2451636,1361.8273
2451637,1361.8634
2451638,1361.857
2451639,1361.9459
2451640,1362.0714
2451641,1362.2415
2451642,1362.2491
2451643,1362.1346
2451644,1362.0855
2451645,1362.1105
2451646,1362.1076
2451647,1362.0215
2451648,1362.0578
2451649,1362.0025
2451650,1361.8443
2451651,1361.8335
2451652,1361.8243
2451653,1361.8879
2451654,1361.9779
2451655,1361.9858
2451656,1361.7885
2451657,1361.2418
2451658,1360.517
2451659,1360.0169
2451660,1359.8468
2451661,1360.0401
2451662,1360.3135
2451663,1360.4512
2451664,1360.8339
2451665,1361.2831
2451666,1361.6453
2451667,1361.8871
2451668,1361.9775
2451669,1361.9099
2451670,1361.9518
2451671,1361.9606
2451672,1361.9743
2451673,1361.9817
2451674,1361.8484
2451675,1361.6495
2451676,1361.2555
2451677,1361.1745
2451678,1361.3069
2451679,1361.2618
2451680,1361.1265
2451681,1360.8121
2451682,1360.3516
2451683,1360.0931
2451684,1359.9272
2451685,1359.8906
2451686,1360.3222
2451687,1360.897
2451688,1361.338
2451689,1361.6755
2451690,1361.6966
2451691,1361.5475
2451692,1361.4197
2451693,1361.328
2451694,1361.2214
2451695,1361.0798
2451696,1360.952
2451697,1361.0525
2451698,1361.289
2451699,1361.3201
2451700,1361.2746
2451701,1361.2503
2451702,1361.2461
2451703,1361.2647
2451704,1361.2524
2451705,1361.2777
2451706,1361.4661
2451707,1361.4522
2451708,1361.2588
2451709,1361.335
2451710,1361.5102
2451711,1361.727
2451712,1361.7265
2451713,1361.6096
2451714,1361.4015
2451715,1361.4717
2451716,1361.4856
2451717,1361.5486
2451718,1361.7789
2451719,1361.8136
2451720,1361.6864
2451721,1361.3419
2451722,1361.0458
2451723,1360.917
2451724,1360.8346
2451725,1360.8786
