CMDLINE /media/monte_share/conda_envs/dataproc/bin/python3.14 main_EEI_preproc.py
MEM 32011.648438 1776195178.2034
MEM 32011.648438 1776195178.3036
MEM 32011.648438 1776195178.4038
MEM 32011.648438 1776195178.5040
MEM 32011.648438 1776195178.6042
MEM 32011.648438 1776195178.7044
MEM 32011.648438 1776195178.8046
MEM 32011.648438 1776195178.9048
MEM 32011.648438 1776195179.0050
MEM 32011.648438 1776195179.1052
MEM 32011.648438 1776195179.2054
MEM 32011.648438 1776195179.3056
MEM 32011.648438 1776195179.4057
MEM 32011.648438 1776195179.5059
MEM 32011.648438 1776195179.6062
MEM 32011.648438 1776195179.7065
MEM 32011.648438 1776195179.8068
MEM 32011.648438 1776195179.9070
MEM 32011.648438 1776195180.0073
MEM 32011.648438 1776195180.1077
MEM 32011.648438 1776195180.2081
MEM 32011.648438 1776195180.3085
MEM 32011.648438 1776195180.4089
MEM 32011.648438 1776195180.5092
MEM 32011.648438 1776195180.6096
MEM 32011.648438 1776195180.7100
MEM 32011.648438 1776195180.8104
MEM 32011.648438 1776195180.9108
MEM 32011.648438 1776195181.0112
MEM 32011.648438 1776195181.1116
MEM 32011.648438 1776195181.2120
MEM 32011.648438 1776195181.3125
MEM 32011.648438 1776195181.4128
MEM 32011.648438 1776195181.5132
MEM 32011.648438 1776195181.6135
MEM 32011.648438 1776195181.7139
MEM 32011.648438 1776195181.8143
MEM 32011.648438 1776195181.9146
MEM 32011.648438 1776195182.0150
MEM 32011.648438 1776195182.1154
MEM 32011.648438 1776195182.2158
MEM 32011.648438 1776195182.3161
MEM 32011.648438 1776195182.4165
MEM 32011.648438 1776195182.5168
MEM 32011.648438 1776195182.6173
MEM 32011.648438 1776195182.7177
MEM 32011.648438 1776195182.8181
MEM 32011.648438 1776195182.9186
MEM 32011.648438 1776195183.0190
MEM 32011.648438 1776195183.1195
MEM 32011.648438 1776195183.2199
MEM 32011.648438 1776195183.3203
MEM 32011.648438 1776195183.4207
MEM 32011.648438 1776195183.5210
MEM 32011.648438 1776195183.6214
MEM 32011.648438 1776195183.7218
MEM 32011.648438 1776195183.8223
MEM 32011.648438 1776195183.9227
MEM 32011.648438 1776195184.0231
MEM 32011.648438 1776195184.1235
MEM 32011.648438 1776195184.2239
MEM 32011.648438 1776195184.3243
MEM 32011.648438 1776195184.4247
MEM 32011.648438 1776195184.5250
MEM 32011.648438 1776195184.6254
MEM 32011.648438 1776195184.7257
MEM 32011.648438 1776195184.8260
MEM 32011.648438 1776195184.9263
MEM 32011.648438 1776195185.0267
MEM 32011.648438 1776195185.1270
MEM 32011.648438 1776195185.2274
MEM 32011.648438 1776195185.3277
MEM 32011.648438 1776195185.4281
MEM 32011.648438 1776195185.5284
MEM 32011.648438 1776195185.6287
MEM 32011.648438 1776195185.7291
MEM 32011.648438 1776195185.8295
MEM 32011.648438 1776195185.9298
MEM 32011.648438 1776195186.0303
MEM 32011.648438 1776195186.1306
MEM 32011.648438 1776195186.2310
MEM 32011.648438 1776195186.3313
MEM 32011.648438 1776195186.4317
MEM 32011.648438 1776195186.5320
MEM 32011.648438 1776195186.6324
MEM 32011.648438 1776195186.7328
MEM 32011.648438 1776195186.8332
MEM 32011.648438 1776195186.9336
MEM 32011.648438 1776195187.0340
MEM 32011.648438 1776195187.1344
MEM 32011.648438 1776195187.2348
MEM 32011.648438 1776195187.3352
MEM 32011.648438 1776195187.4356
MEM 32011.648438 1776195187.5359
MEM 32011.648438 1776195187.6363
MEM 32011.648438 1776195187.7366
MEM 32011.648438 1776195187.8370
MEM 32011.648438 1776195187.9373
MEM 32011.648438 1776195188.0376
MEM 32011.648438 1776195188.1379
MEM 32011.648438 1776195188.2382
MEM 32011.648438 1776195188.3386
MEM 32011.648438 1776195188.4389
MEM 32011.648438 1776195188.5393
MEM 32011.648438 1776195188.6397
MEM 29213.566406 1776195188.7400
MEM 18599.496094 1776195188.8404
MEM 19957.496094 1776195188.9408
MEM 21066.921875 1776195189.0413
MEM 22348.921875 1776195189.1418
MEM 23392.320312 1776195189.2421
MEM 24489.652344 1776195189.3425
MEM 25777.652344 1776195189.4429
MEM 27067.652344 1776195189.5433
MEM 28359.652344 1776195189.6437
MEM 29643.652344 1776195189.7441
MEM 30925.652344 1776195189.8445
MEM 32011.652344 1776195189.9448
MEM 32011.652344 1776195190.0450
MEM 32011.652344 1776195190.1452
MEM 32011.652344 1776195190.2454
MEM 32011.652344 1776195190.3456
MEM 32011.652344 1776195190.4458
MEM 32011.652344 1776195190.5460
MEM 32011.652344 1776195190.6462
MEM 32011.652344 1776195190.7464
MEM 32011.652344 1776195190.8466
MEM 32011.652344 1776195190.9467
MEM 32011.652344 1776195191.0469
MEM 32011.652344 1776195191.1470
MEM 32011.652344 1776195191.2472
MEM 32011.652344 1776195191.3474
MEM 32011.652344 1776195191.4476
MEM 32011.652344 1776195191.5477
MEM 32011.652344 1776195191.6479
MEM 32011.652344 1776195191.7480
