Secs_from_Epoch, Height, Long, Lat, MLTAN

4860.000, 808.410, -21.23633, 15.98160, 23.374
4920.000, 808.567, -19.52225, 19.01502, 23.387
4980.000, 808.811, -17.73507, 22.02715, 23.398
5040.000, 809.132, -15.85935, 25.01320, 23.408
5100.000, 809.521, -13.87783, 27.96770, 23.416
5160.000, 809.969, -11.77106, 30.88433, 23.422
5220.000, 810.463, -9.51699, 33.75569, 23.426
5280.000, 810.992, -7.09057, 36.57309, 23.428
5340.000, 811.544, -4.46338, 39.32621, 23.428
5400.000, 812.108, -1.60328, 42.00275, 23.426
5460.000, 812.671, 1.52560, 44.58804, 23.422
5520.000, 813.221, 4.96258, 47.06450, 23.415
5580.000, 813.747, 8.74936, 49.41121, 23.407
5640.000, 814.239, 12.92780, 51.60347, 23.396
5700.000, 814.687, 17.53602, 53.61252, 23.384
5760.000, 815.081, 22.60236, 55.40568, 23.371
5820.000, 815.414, 28.13684, 56.94716, 23.356
5880.000, 815.680, 34.12130, 58.19979, 23.340
5940.000, 815.874, 40.50008, 59.12797, 23.323
6000.000, 815.991, 47.17551, 59.70155, 23.306
6060.000, 816.030, 54.01221, 59.90008, 23.288
6120.000, 815.989, 60.85202, 59.71611, 23.271
6180.000, 815.870, 67.53629, 59.15654, 23.253
6240.000, 815.675, 73.92844, 58.24140, 23.237
6300.000, 815.408, 79.92923, 57.00052, 23.221
6360.000, 815.073, 85.48143, 55.46939, 23.206
6420.000, 814.678, 90.56559, 53.68517, 23.192
6480.000, 814.230, 95.19087, 51.68375, 23.180
6540.000, 813.737, 99.38505, 49.49793, 23.170
6600.000, 813.211, 103.18602, 47.15664, 23.161
6660.000, 812.660, 106.63558, 44.68474, 23.155
6720.000, 812.097, 109.77549, 42.10327, 23.151
6780.000, 811.534, 112.64517, 39.42993, 23.148
6840.000, 810.982, 115.28065, 36.67949, 23.148
6900.000, 810.453, 117.71420, 33.86435, 23.150
6960.000, 809.959, 119.97438, 30.99488, 23.154
7020.000, 809.511, 122.08637, 28.07983, 23.160
7080.000, 809.122, 124.07231, 25.12664, 23.168
7140.000, 808.800, 125.95176, 22.14167, 23.178
7200.000, 808.556, 127.74204, 19.13042, 23.189
7260.000, 808.397, 129.45867, 16.09772, 23.202
7320.000, 808.331, 131.11562, 13.04784, 23.216
7380.000, 808.364, 132.72570, 9.98461, 23.231
7440.000, 808.499, 134.30075, 6.91157, 23.246
7500.000, 808.740, 135.85194, 3.83200, 23.263
7560.000, 809.089, 137.38996, 0.74902, 23.279
7620.000, 809.544, 138.92525, -2.33432, 23.296
7680.000, 810.103, 140.46818, -5.41501, 23.312
7740.000, 810.763, 142.02930, -8.48998, 23.328
7800.000, 811.518, 143.61947, -11.55605, 23.344
7860.000, 812.362, 145.25014, -14.60984, 23.358
7920.000, 813.285, 146.93354, -17.64771, 23.371
7980.000, 814.280, 148.68297, -20.66566, 23.383
8040.000, 815.333, 150.51305, -23.65920, 23.394
8100.000, 816.435, 152.44003, -26.62324, 23.403
8160.000, 817.571, 154.48218, -29.55195, 23.410
8220.000, 818.729, 156.66011, -32.43853, 23.415
8280.000, 819.895, 158.99723, -35.27504, 23.418
8340.000, 821.054, 161.52008, -38.05206, 23.419
8400.000, 822.192, 164.25873, -40.75844, 23.418
8460.000, 823.295, 167.24695, -43.38083, 23.414
8520.000, 824.349, 170.52210, -45.90330, 23.409
8580.000, 825.341, 174.12449, -48.30683, 23.401
8640.000, 826.258, 178.09576, -50.56887, 23.392
8700.000, 827.089, -177.52402, -52.66295, 23.381
8760.000, 827.823, -172.70131, -54.55866, 23.368
8820.000, 828.451, -167.41624, -56.22201, 23.354
8880.000, 828.964, -161.67186, -57.61669, 23.338
8940.000, 829.357, -155.50396, -58.70636, 23.322
9000.000, 829.624, -148.98829, -59.45807, 23.305
9060.000, 829.761, -142.24113, -59.84634, 23.287
9120.000, 829.767, -135.40981, -59.85700, 23.270
9180.000, 829.642, -128.65382, -59.48968, 23.252
9240.000, 829.387, -122.12173, -58.75778, 23.235
9300.000, 829.007, -115.93193, -57.68626, 23.219
9360.000, 828.504, -110.16251, -56.30776, 23.203
9420.000, 827.887, -104.85134, -54.65854, 23.189
9480.000, 827.162, -100.00305, -52.77496, 23.176
9540.000, 826.340, -95.59881, -50.69119, 23.165
9600.000, 825.431, -91.60563, -48.43788, 23.155
9660.000, 824.446, -87.98366, -46.04169, 23.148
9720.000, 823.398, -84.69124, -43.52541, 23.142
9780.000, 822.301, -81.68794, -40.90823, 23.139
9840.000, 821.167, -78.93621, -38.20624, 23.137
9900.000, 820.011, -76.40208, -35.43292, 23.138
9960.000, 818.848, -74.05528, -32.59956, 23.141
10020.000, 817.691, -71.86906, -29.71563, 23.146
10080.000, 816.556, -69.81986, -26.78918, 23.153
10140.000, 815.454, -67.88691, -23.82703, 23.162
10200.000, 814.399, -66.05184, -20.83510, 23.172
10260.000, 813.403, -64.29829, -17.81848, 23.184
10320.000, 812.476, -62.61154, -14.78171, 23.197
10380.000, 811.629, -60.97826, -11.72880, 23.212
10440.000, 810.871, -59.38613, -8.66343, 23.227
10500.000, 810.207, -57.82369, -5.58898, 23.243
10560.000, 809.644, -56.28003, -2.50863, 23.260
10620.000, 809.186, -54.74461, 0.57453, 23.276
10680.000, 808.834, -53.20704, 3.65750, 23.293
10740.000, 808.589, -51.65691, 6.73723, 23.309
10800.000, 808.451, -50.08353, 9.81061, 23.325
10860.000, 808.416, -48.47578, 12.87437, 23.340
10920.000, 808.481, -46.82185, 15.92499, 23.354
10980.000, 808.639, -45.10901, 18.95865, 23.367
11040.000, 808.883, -43.32333, 21.97112, 23.378
11100.000, 809.206, -41.44943, 24.95760, 23.388
11160.000, 809.597, -39.47007, 27.91264, 23.396
11220.000, 810.046, -37.36586, 30.82993, 23.402
11280.000, 810.542, -35.11478, 33.70210, 23.406
11340.000, 811.073, -32.69187, 36.52048, 23.408
11400.000, 811.628, -30.06876, 39.27479, 23.408
11460.000, 812.194, -27.21339, 41.95279, 23.406
11520.000, 812.758, -24.08996, 44.53982, 23.402
11580.000, 813.310, -20.65922, 47.01839, 23.395
11640.000, 813.838, -16.87950, 49.36765, 23.387
11700.000, 814.331, -12.70893, 51.56296, 23.377
11760.000, 814.779, -8.10926, 53.57565, 23.365
11820.000, 815.174, -3.05193, 55.37312, 23.351
11880.000, 815.508, 2.47354, 56.91961, 23.336
11940.000, 815.773, 8.44959, 58.17797, 23.321
12000.000, 815.966, 14.82134, 59.11255, 23.304
12060.000, 816.082, 21.49194, 59.69305, 23.286
12120.000, 816.119, 28.32665, 59.89880, 23.269
12180.000, 816.077, 35.16754, 59.72209, 23.251
12240.000, 815.955, 41.85581, 59.16955, 23.234
12300.000, 815.757, 48.25428, 58.26097, 23.217
12360.000, 815.486, 54.26295, 57.02605, 23.201
12420.000, 815.148, 59.82380, 55.50018, 23.186
12480.000, 814.748, 64.91674, 53.72052, 23.172
12540.000, 814.295, 69.55047, 51.72301, 23.160
12600.000, 813.797, 73.75248, 49.54052, 23.150
12660.000, 813.264, 77.56054, 47.20203, 23.142
12720.000, 812.708, 81.01641, 44.73249, 23.135
