Secs_from_Epoch, Long, Lat, Ar, Ai, Ac, AMAG

2460.00, -163.86027, -45.94973, -0.000000000000618, -0.000000002536440, 0.000000000089278, 0.000000002538011
2520.00, -160.25150, -48.35084, -0.000000000000527, -0.000000002514129, 0.000000000080134, 0.000000002515405
2580.00, -156.27308, -50.61001, -0.000000000000442, -0.000000002484096, 0.000000000070611, 0.000000002485100
2640.00, -151.88500, -52.70071, -0.000000000000364, -0.000000002447337, 0.000000000060858, 0.000000002448094
2700.00, -147.05391, -54.59244, -0.000000000000293, -0.000000002404792, 0.000000000051012, 0.000000002405333
2760.00, -141.76026, -56.25116, -0.000000000000228, -0.000000002357199, 0.000000000041194, 0.000000002357559
2820.00, -136.00762, -57.64054, -0.000000000000169, -0.000000002305034, 0.000000000031513, 0.000000002305250
2880.00, -129.83245, -58.72426, -0.000000000000115, -0.000000002248506, 0.000000000022067, 0.000000002248615
2940.00, -123.31128, -59.46948, -0.000000000000066, -0.000000002187608, 0.000000000012948, 0.000000002187647
3000.00, -116.56109, -59.85087, -0.000000000000020, -0.000000002122200, 0.000000000004246, 0.000000002122204
3060.00, -109.72963, -59.85453, 0.000000000000023, -0.000000002052199, -0.000000000003951, 0.000000002052203
3120.00, -102.97640, -59.48032, 0.000000000000063, -0.000000001977672, -0.000000000011557, 0.000000001977705
3180.00, -96.44958, -58.74190, 0.000000000000101, -0.000000001899010, -0.000000000018495, 0.000000001899100
3240.00, -90.26688, -57.66439, 0.000000000000138, -0.000000001817003, -0.000000000024707, 0.000000001817171
3300.00, -84.50562, -56.28056, 0.000000000000172, -0.000000001732870, -0.000000000030157, 0.000000001733132
3360.00, -79.20298, -54.62667, 0.000000000000206, -0.000000001648190, -0.000000000034845, 0.000000001648558
3420.00, -74.36308, -52.73908, 0.000000000000239, -0.000000001564752, -0.000000000038802, 0.000000001565233
3480.00, -69.96674, -50.65190, 0.000000000000270, -0.000000001484359, -0.000000000042093, 0.000000001484956
3540.00, -65.98077, -48.39569, 0.000000000000302, -0.000000001408567, -0.000000000044804, 0.000000001409279
3600.00, -62.36526, -45.99708, 0.000000000000333, -0.000000001338520, -0.000000000047029, 0.000000001339346
3660.00, -59.07854, -43.47874, 0.000000000000364, -0.000000001274852, -0.000000000048861, 0.000000001275788
3720.00, -56.08023, -40.85982, 0.000000000000396, -0.000000001217688, -0.000000000050375, 0.000000001218730
3780.00, -53.33283, -38.15637, 0.000000000000429, -0.000000001166796, -0.000000000051633, 0.000000001167938
3840.00, -50.80245, -35.38181, 0.000000000000462, -0.000000001121735, -0.000000000052681, 0.000000001122972
3900.00, -48.45887, -32.54739, 0.000000000000496, -0.000000001082058, -0.000000000053555, 0.000000001083382
3960.00, -46.27540, -29.66257, 0.000000000000531, -0.000000001047408, -0.000000000054289, 0.000000001048814
4020.00, -44.22856, -26.73535, 0.000000000000567, -0.000000001017586, -0.000000000054919, 0.000000001019067
4080.00, -42.29760, -23.77256, 0.000000000000604, -0.000000000992525, -0.000000000055481, 0.000000000994075
4140.00, -40.46421, -20.78007, 0.000000000000642, -0.000000000972241, -0.000000000056013, 0.000000000973853
4200.00, -38.71204, -17.76299, 0.000000000000682, -0.000000000956754, -0.000000000056546, 0.000000000958424
4260.00, -37.02642, -14.72582, 0.000000000000723, -0.000000000946074, -0.000000000057109, 0.000000000947796
4320.00, -35.39403, -11.67260, 0.000000000000767, -0.000000000940116, -0.000000000057716, 0.000000000941886
4380.00, -33.80257, -8.60696, 0.000000000000812, -0.000000000938731, -0.000000000058373, 0.000000000940544
4440.00, -32.24059, -5.53230, 0.000000000000860, -0.000000000941720, -0.000000000059077, 0.000000000943571
4500.00, -30.69719, -2.45180, 0.000000000000909, -0.000000000948860, -0.000000000059818, 0.000000000950744
4560.00, -29.16183, 0.63146, 0.000000000000960, -0.000000000959990, -0.000000000060581, 0.000000000961900
4620.00, -27.62413, 3.71448, 0.000000000001012, -0.000000000974956, -0.000000000061350, 0.000000000976885
4680.00, -26.07367, 6.79421, 0.000000000001065, -0.000000000993663, -0.000000000062107, 0.000000000995603
4740.00, -24.49975, 9.86753, 0.000000000001118, -0.000000001016031, -0.000000000062830, 0.000000001017973
4800.00, -22.89125, 12.93116, 0.000000000001170, -0.000000001041952, -0.000000000063491, 0.000000001043885
4860.00, -21.23633, 15.98160, 0.000000000001221, -0.000000001071219, -0.000000000064054, 0.000000001073133
4920.00, -19.52225, 19.01502, 0.000000000001269, -0.000000001103603, -0.000000000064478, 0.000000001105485
4980.00, -17.73507, 22.02715, 0.000000000001312, -0.000000001138719, -0.000000000064712, 0.000000001140557
5040.00, -15.85935, 25.01320, 0.000000000001350, -0.000000001176150, -0.000000000064703, 0.000000001177929
5100.00, -13.87783, 27.96770, 0.000000000001381, -0.000000001215464, -0.000000000064400, 0.000000001217170
5160.00, -11.77106, 30.88433, 0.000000000001402, -0.000000001256266, -0.000000000063756, 0.000000001257884
5220.00, -9.51699, 33.75569, 0.000000000001412, -0.000000001298181, -0.000000000062728, 0.000000001299696
5280.00, -7.09057, 36.57309, 0.000000000001411, -0.000000001340992, -0.000000000061288, 0.000000001342392
5340.00, -4.46338, 39.32621, 0.000000000001396, -0.000000001384451, -0.000000000059406, 0.000000001385725
5400.00, -1.60328, 42.00275, 0.000000000001367, -0.000000001428393, -0.000000000057064, 0.000000001429533
5460.00, 1.52560, 44.58804, 0.000000000001322, -0.000000001472700, -0.000000000054248, 0.000000001473699
5520.00, 4.96258, 47.06450, 0.000000000001262, -0.000000001517256, -0.000000000050948, 0.000000001518112
5580.00, 8.74936, 49.41121, 0.000000000001185, -0.000000001562076, -0.000000000047163, 0.000000001562788
5640.00, 12.92780, 51.60347, 0.000000000001092, -0.000000001607097, -0.000000000042892, 0.000000001607670
5700.00, 17.53602, 53.61252, 0.000000000000983, -0.000000001652290, -0.000000000038139, 0.000000001652730
5760.00, 22.60236, 55.40568, 0.000000000000858, -0.000000001697596, -0.000000000032910, 0.000000001697915
